2025-09-29 13:36 	 EA6EE 	 28.126020 	 -18 	 0 	 JM19hn 	 0.2 	 OH6BG 	 KP03qa 	 2891 	 19 	 W-2 
2025-09-29 13:36 	 AA1AH 	 28.126106 	 -10 	 0 	 FN43 	 0.2 	 OZ7IT 	 JO65df 	 5801 	 46 	 W-2 
2025-09-29 13:36 	 W2MV 	 28.126057 	 -24 	 0 	 FN31 	 0.2 	 DD5XX 	 JN48ps 	 6190 	 52 	 W-2 
2025-09-29 13:36 	 PY2LSB 	 28.126105 	 -23 	 -1 	 GG77je 	 1 	 DD5XX 	 JN48ps 	 9617 	 33 	 W-2 
 2025-09-29 13:36 	 SM4TIW 	 28.126073 	 -24 	 0 	 JO79 	 0.2 	 OZ7IT 	 JO65df 	 499 	 200 	 W-2 
 2025-09-29 13:36 	 AB5SS 	 28.126059 	 -8 	 3 	 GP51 	 20 	 OZ7IT 	 JO65df 	 3506 	 73 	 W-2 
 2025-09-29 13:36 	 KC2LFA 	 28.126047 	 -19 	 0 	 FN21 	 0.2 	 OZ7IT 	 JO65df 	 6190 	 44 	 W-2 
 2025-09-29 13:36 	 W2MV 	 28.126026 	 -19 	 0 	 FN31 	 0.2 	 N2YTF 	 FN31bc 	 81 	 239 	 W-2 
 2025-09-29 13:36 	 EA6EE 	 28.126035 	 -11 	 0 	 JM19hn 	 0.2 	 OH3LMN/KIWI 	 KP11wm 	 2837 	 24 	 W-2 
 2025-09-29 13:36 	 SM4TIW 	 28.126072 	 -15 	 0 	 JO79 	 0.2 	 2E0ILY/KIWI 	 IO82qv 	 1305 	 244 	 W-2 
 2025-09-29 13:36 	 PY2LSB 	 28.126085 	 -25 	 -1 	 GG77je 	 1 	 2E0ILY/KIWI 	 IO82qv 	 9368 	 24 	 W-2 
 2025-09-29 13:36 	 YM2XBL 	 28.126105 	 -11 	 0 	 KN41 	 0.2 	 2E0ILY/KIWI 	 IO82qv 	 2673 	 309 	 W-2 
 2025-09-29 13:36 	 ON0HVL 	 28.126153 	 -20 	 0 	 JO10ks 	 0.2 	 LA3FY/2 	 JP40fj 	 1125 	 16 	 W-2 
 2025-09-29 13:36 	 DL6NL 	 28.126124 	 -20 	 0 	 JO50cb 	 1 	 DJ6DK 	 JN48fw 	 178 	 226 	 W-2 
 2025-09-29 13:36 	 PY2LSB 	 28.126108 	 -22 	 0 	 GG77je 	 1 	 DJ6DK 	 JN48fw 	 9584 	 32 	 W-2 
 2025-09-29 13:36 	 W2MV 	 28.126059 	 -18 	 0 	 FN31 	 0.2 	 DJ6DK 	 JN48fw 	 6127 	 52 	 W-2 
 2025-09-29 13:36 	 DL6NL 	 28.126134 	 -21 	 0 	 JO50cb 	 1 	 DB1MIC 	 JN49ll 	 111 	 235 	 W-2 
 2025-09-29 13:36 	 PY2LSB 	 28.126118 	 -23 	 0 	 GG77je 	 1 	 DB1MIC 	 JN49ll 	 9651 	 32 	 W-2 
 2025-09-29 13:36 	 DL6NL 	 28.126108 	 -23 	 0 	 JO50cb 	 1 	 VE3EBR 	 FN25bi 	 6094 	 301 	 W-2 
 2025-09-29 13:36 	 DL6NL 	 28.126099 	 -16 	 0 	 JO50cb 	 1 	 ZR6MS 	 KG33xw 	 8644 	 164 	 W-2 
 2025-09-29 13:36 	 W2MV 	 28.126038 	 -18 	 0 	 FN31 	 0.2 	 PA4HJH 	 JO22su 	 5767 	 49 	 W-2 
 2025-09-29 13:36 	 G0UON 	 28.126103 	 -24 	 -1 	 IO84qs 	 2 	 DL3EL 	 JO40hd 	 918 	 119 	 W-2 
 2025-09-29 13:36 	 DL6NL 	 28.126097 	 -26 	 0 	 JO50cb 	 1 	 DO6RPS 	 JO42ic 	 250 	 336 	 W-2 
 2025-09-29 13:36 	 DL6NL 	 28.126127 	 -20 	 0 	 JO50cb 	 1 	 A2NEW 	 KG25xj 	 8447 	 165 	 W-2 
 2025-09-29 13:36 	 PY2LSB 	 28.126082 	 -25 	 0 	 GG77je 	 1 	 DO6RPS 	 JO42ic 	 9832 	 30 	 W-2 
 2025-09-29 13:36 	 W2MV 	 28.126084 	 -20 	 0 	 FN31 	 0.2 	 DL3EL 	 JO40hd 	 6081 	 51 	 W-2 
 2025-09-29 13:36 	 W2MV 	 28.126033 	 -19 	 0 	 FN31 	 0.2 	 DO6RPS 	 JO42ic 	 5997 	 49 	 W-2 
 2025-09-29 13:36 	 EA6EE 	 28.126035 	 -10 	 -1 	 JM19hn 	 0.2 	 N2HQI 	 FN13sa 	 6364 	 301 	 W-2 
 2025-09-29 13:36 	 F6FUZ 	 28.126088 	 -22 	 -1 	 JN05id 	 0.2 	 N2HQI 	 FN13sa 	 5922 	 297 	 W-2 
 2025-09-29 13:36 	 DL6NL 	 28.126101 	 -21 	 -1 	 JO50cb 	 1 	 N2HQI 	 FN13sa 	 6294 	 299 	 W-2 
 2025-09-29 13:36 	 PD0OHW/M 	 28.126154 	 -21 	 0 	 JN33nq 	 5 	 N2HQI 	 FN13sa 	 6446 	 301 	 W-2 
 2025-09-29 13:36 	 AA1AH 	 28.126108 	 -21 	 0 	 FN43 	 0.2 	 DK6UG 	 JN49cm 	 5818 	 54 	 W-2 
 2025-09-29 13:36 	 YM2XBL 	 28.126119 	 -13 	 0 	 KN41 	 0.2 	 GM0UDL 	 IO77vo 	 2942 	 319 	 W-2 
 2025-09-29 13:36 	 YM2XBL 	 28.126113 	 -1 	 0 	 KN41 	 0.2 	 CT1HMN 	 IM58nn 	 3212 	 277 	 W-2 
 2025-09-29 13:36 	 G0EIY 	 28.126150 	 -26 	 1 	 IO82or 	 0.2 	 IT9JFW 	 JM68qd 	 2045 	 136 	 W-2 
